| name         | title        | level | facing   | categories      | description                                                                 | detail                                                                                       | remediation                                                                      | metadata                                             | cache_key                                                        |
| ------------ | ------------ | ----- | -------- | --------------- | --------------------------------------------------------------------------- | -------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------- | ---------------------------------------------------- | ---------------------------------------------------------------- |
| unused_index | Unused Index | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal. | Index \`idx_bookings_slot_datetime\` on table \`public.bookings\` has not been used          | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index | {"name":"bookings","type":"table","schema":"public"} | unused_index_public_bookings_idx_bookings_slot_datetime          |
| unused_index | Unused Index | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal. | Index \`idx_bookings_pitch_id\` on table \`public.bookings\` has not been used               | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index | {"name":"bookings","type":"table","schema":"public"} | unused_index_public_bookings_idx_bookings_pitch_id               |
| unused_index | Unused Index | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal. | Index \`bookings_pitch_id_slot_datetime_idx\` on table \`public.bookings\` has not been used | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index | {"name":"bookings","type":"table","schema":"public"} | unused_index_public_bookings_bookings_pitch_id_slot_datetime_idx |
| unused_index | Unused Index | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal. | Index \`bookings_pitch_id_idx\` on table \`public.bookings\` has not been used               | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index | {"name":"bookings","type":"table","schema":"public"} | unused_index_public_bookings_bookings_pitch_id_idx               |
| unused_index | Unused Index | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal. | Index \`bookings_user_id_status_idx\` on table \`public.bookings\` has not been used         | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index | {"name":"bookings","type":"table","schema":"public"} | unused_index_public_bookings_bookings_user_id_status_idx         |
| unused_index | Unused Index | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal. | Index \`idx_profiles_student_id\` on table \`public.profiles\` has not been used             | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index | {"name":"profiles","type":"table","schema":"public"} | unused_index_public_profiles_idx_profiles_student_id             |
| unused_index | Unused Index | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal. | Index \`idx_profiles_status\` on table \`public.profiles\` has not been used                 | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index | {"name":"profiles","type":"table","schema":"public"} | unused_index_public_profiles_idx_profiles_status                 |
| unused_index | Unused Index | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal. | Index \`idx_bookings_slot_id\` on table \`public.bookings\` has not been used                | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index | {"name":"bookings","type":"table","schema":"public"} | unused_index_public_bookings_idx_bookings_slot_id                |
| unused_index | Unused Index | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal. | Index \`idx_profiles_full_name\` on table \`public.profiles\` has not been used              | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index | {"name":"profiles","type":"table","schema":"public"} | unused_index_public_profiles_idx_profiles_full_name              |

| name                         | title                        | level | facing   | categories      | description                                                                                                                                                                                                                                                 | detail                                                                                                                                                                                                                                                                                                                                                                                                                              | remediation                                                                                      | metadata                                                                                                                             | cache_key                                                                                         |
| ---------------------------- | ---------------------------- | ----- | -------- | --------------- | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------ | ------------------------------------------------------------------------------------------------------------------------------------ | ------------------------------------------------------------------------------------------------- |
| auth_rls_initplan            | Auth RLS Initialization Plan | WARN  | EXTERNAL | ["PERFORMANCE"] | Detects if calls to \`current_setting()\` and \`auth.<function>()\` in RLS policies are being unnecessarily re-evaluated for each row                                                                                                                       | Table \`public.profiles\` has a row level security policy \`profiles_select_own\` that re-evaluates current_setting() or auth.<function>() for each row. This produces suboptimal query performance at scale. Resolve the issue by replacing \`auth.<function>()\` with \`(select auth.<function>())\`. See [docs](https://supabase.com/docs/guides/database/postgres/row-level-security#call-functions-with-select) for more info. | https://supabase.com/docs/guides/database/database-linter?lint=0003_auth_rls_initplan            | {"name":"profiles","type":"table","schema":"public"}                                                                                 | auth_rls_init_plan_public_profiles_profiles_select_own                                            |
| auth_rls_initplan            | Auth RLS Initialization Plan | WARN  | EXTERNAL | ["PERFORMANCE"] | Detects if calls to \`current_setting()\` and \`auth.<function>()\` in RLS policies are being unnecessarily re-evaluated for each row                                                                                                                       | Table \`public.profiles\` has a row level security policy \`profiles_update_own\` that re-evaluates current_setting() or auth.<function>() for each row. This produces suboptimal query performance at scale. Resolve the issue by replacing \`auth.<function>()\` with \`(select auth.<function>())\`. See [docs](https://supabase.com/docs/guides/database/postgres/row-level-security#call-functions-with-select) for more info. | https://supabase.com/docs/guides/database/database-linter?lint=0003_auth_rls_initplan            | {"name":"profiles","type":"table","schema":"public"}                                                                                 | auth_rls_init_plan_public_profiles_profiles_update_own                                            |
| auth_rls_initplan            | Auth RLS Initialization Plan | WARN  | EXTERNAL | ["PERFORMANCE"] | Detects if calls to \`current_setting()\` and \`auth.<function>()\` in RLS policies are being unnecessarily re-evaluated for each row                                                                                                                       | Table \`public.bookings\` has a row level security policy \`bookings_create\` that re-evaluates current_setting() or auth.<function>() for each row. This produces suboptimal query performance at scale. Resolve the issue by replacing \`auth.<function>()\` with \`(select auth.<function>())\`. See [docs](https://supabase.com/docs/guides/database/postgres/row-level-security#call-functions-with-select) for more info.     | https://supabase.com/docs/guides/database/database-linter?lint=0003_auth_rls_initplan            | {"name":"bookings","type":"table","schema":"public"}                                                                                 | auth_rls_init_plan_public_bookings_bookings_create                                                |
